heat, value, length
5 28 389
6 28 401
7 29 463
8 30 513
9 29 525
10 29 527
11 29 557
12 29 571
13 30 641
14 30 623
15 30 659
16 30 661
17 30 651
18 30 631
19 30 649
20 30 641
21 30 617
22 29 565
23 29 527
24 29 521
25 29 495
26 29 495
27 29 475
28 29 465
29 29 463
5 30 429
6 30 465
7 30 509
8 30 513
9 30 553
10 30 543
11 30 589
12 30 609
13 30 625
14 30 639
15 30 641
16 30 625
17 30 659
18 30 665
19 30 667
20 30 643
21 30 633
22 30 587
23 29 579
24 29 561
25 29 543
26 29 535
27 29 533
28 29 527
29 29 509
5 28 367
6 28 383
7 29 447
8 29 449
9 29 491
10 29 495
11 29 525
12 29 557
13 29 561
14 29 595
15 29 595
16 29 635
17 29 597
18 29 607
19 29 609
20 29 599
21 29 585
22 29 557
23 29 539
24 28 505
25 28 477
26 28 471
27 28 463
28 28 463
29 28 445
5 29 399
6 29 447
7 29 467
8 29 515
9 29 515
10 29 555
11 29 579
12 29 607
13 30 631
14 29 669
15 30 665
16 30 701
17 30 695
18 30 679
19 29 639
20 29 645
21 29 635
22 29 609
23 28 578
24 28 574
25 27 509
26 28 538
27 28 538
28 28 538
29 29 549
5 29 381
6 29 389
7 29 437
8 29 449
9 29 489
10 29 515
11 29 551
12 29 563
13 29 587
14 29 581
15 29 601
16 30 647
17 29 619
18 29 597
19 29 617
20 29 597
21 29 565
22 29 549
23 28 503
24 29 539
25 28 528
26 27 491
27 27 489
28 27 489
29 27 477
5 29 395
6 29 417
7 28 436
8 29 489
9 28 486
10 29 537
11 29 543
12 29 571
13 29 585
14 29 609
15 29 621
16 29 641
17 29 635
18 29 625
19 29 635
20 29 627
21 29 603
22 29 559
23 28 501
24 28 501
25 28 479
26 28 465
27 28 451
28 28 451
29 28 443
5 29 406
6 29 428
7 30 477
8 30 505
9 30 541
10 30 545
11 30 577
12 30 591
13 30 665
14 30 659
15 30 651
16 30 663
17 30 665
18 30 659
19 30 669
20 30 667
21 30 637
22 30 617
23 29 556
24 29 556
25 29 540
26 28 483
27 28 487
28 28 485
29 28 475
5 29 391
6 29 417
7 29 441
8 29 479
9 29 483
10 29 519
11 29 523
12 29 565
13 29 581
14 29 593
15 29 641
16 30 655
17 29 633
18 29 625
19 29 637
20 29 619
21 29 593
22 29 589
23 28 521
24 28 521
25 28 495
26 27 436
27 27 442
28 27 442
29 27 438
5 29 373
6 29 403
7 30 477
8 30 465
9 30 543
10 30 547
11 30 575
12 30 587
13 30 611
14 30 621
15 30 623
16 30 641
17 30 645
18 30 663
19 30 667
20 30 643
21 30 617
22 30 607
23 30 603
24 30 601
25 30 571
26 30 565
27 30 553
28 30 553
29 30 525
5 29 401
6 29 409
7 29 441
8 29 465
9 29 499
10 29 523
11 29 533
12 29 587
13 29 585
14 29 597
15 30 661
16 30 677
17 29 623
18 29 619
19 30 657
20 29 597
21 29 589
22 29 545
23 29 543
24 29 531
25 29 513
26 29 485
27 29 471
28 29 477
29 29 459
5 28 397
6 30 465
7 30 475
8 29 461
9 30 541
10 30 523
11 30 595
12 30 587
13 30 633
14 30 633
15 30 639
16 30 641
17 30 673
18 30 663
19 30 645
20 30 635
21 30 623
22 30 619
23 29 575
24 27 505
25 27 479
26 27 477
27 27 477
28 27 469
29 27 467
5 30 439
6 30 439
7 30 501
8 30 505
9 30 563
10 30 531
11 30 599
12 30 591
13 30 643
14 30 651
15 30 629
16 30 671
17 30 645
18 30 645
19 30 643
20 30 643
21 30 633
22 30 605
23 30 559
24 28 525
25 28 515
26 28 527
27 28 515
28 28 507
29 28 505
5 29 391
6 30 433
7 30 461
8 30 513
9 30 521
10 30 545
11 30 569
12 30 589
13 30 619
14 30 629
15 30 677
16 30 655
17 30 655
18 30 657
19 30 657
20 30 651
21 30 635
22 30 599
23 29 529
24 29 511
25 29 501
26 30 539
27 30 519
28 30 515
29 30 513
5 30 437
6 30 437
7 29 454
8 30 497
9 30 563
10 30 553
11 30 615
12 30 615
13 30 677
14 30 667
15 30 719
16 30 701
17 30 683
18 30 677
19 30 675
20 30 683
21 30 665
22 30 649
23 29 597
24 28 513
25 28 493
26 28 475
27 28 473
28 28 473
29 28 457
5 29 392
6 29 430
7 29 456
8 29 470
9 29 496
10 30 533
11 29 540
12 30 589
13 29 606
14 30 635
15 30 639
16 30 659
17 30 647
18 30 679
19 29 604
20 29 578
21 29 564
22 29 548
23 29 558
24 29 556
25 29 540
26 28 505
27 28 491
28 28 491
29 28 477
5 28 386
6 29 438
7 30 511
8 29 516
9 29 546
10 29 598
11 29 568
12 29 610
13 30 649
14 30 683
15 30 729
16 28 662
17 29 612
18 30 641
19 29 602
20 29 598
21 29 594
22 29 590
23 28 548
24 28 532
25 27 518
26 27 508
27 27 488
28 29 519
29 28 496
5 29 393
6 29 412
7 30 481
8 29 480
9 30 535
10 30 561
11 30 575
12 30 607
13 30 629
14 30 657
15 29 638
16 30 687
17 29 614
18 30 675
19 30 649
20 29 599
21 29 601
22 29 555
23 29 545
24 29 537
25 29 535
26 29 529
27 29 515
28 29 511
29 29 507
5 29 425
6 29 427
7 29 471
8 29 495
9 29 531
10 29 545
11 29 571
12 29 597
13 30 655
14 30 651
15 30 669
16 30 697
17 30 685
18 30 667
19 30 665
20 29 631
21 29 633
22 29 593
23 28 554
24 28 548
25 28 534
26 28 518
27 28 506
28 28 500
29 28 486
5 29 423
6 29 423
7 29 485
8 29 503
9 29 531
10 29 549
11 29 575
12 29 583
13 29 623
14 29 643
15 29 621
16 30 693
17 30 681
18 30 671
19 30 689
20 29 661
21 30 659
22 29 591
23 29 543
24 29 533
25 28 503
26 28 503
27 28 485
28 28 487
29 28 485
5 28 367
6 29 403
7 30 471
8 30 475
9 30 519
10 30 523
11 30 569
12 30 589
13 30 621
14 30 623
15 30 681
16 30 661
17 30 669
18 30 659
19 30 653
20 30 653
21 29 573
22 30 609
23 28 507
24 28 509
25 28 483
26 28 449
27 28 449
28 28 447
29 28 445
5 30 421
6 30 443
7 30 469
8 30 479
9 30 533
10 30 537
11 30 581
12 30 587
13 30 623
14 30 643
15 30 641
16 30 651
17 30 657
18 30 671
19 28 599
20 28 595
21 28 579
22 28 559
23 29 545
24 29 533
25 28 512
26 28 504
27 28 484
28 28 482
29 29 499
5 29 391
6 28 398
7 28 422
8 29 479
9 29 505
10 29 541
11 29 545
12 29 555
13 30 605
14 30 667
15 30 637
16 30 667
17 30 643
18 30 659
19 30 649
20 30 649
21 30 611
22 29 557
23 28 518
24 28 518
25 28 510
26 28 502
27 28 478
28 27 451
29 27 447
5 30 427
6 29 432
7 30 467
8 30 507
9 30 535
10 30 565
11 30 575
12 30 593
13 30 647
14 30 631
15 30 675
16 30 671
17 30 681
18 30 673
19 30 669
20 30 659
21 30 633
22 29 576
23 28 526
24 28 520
25 28 514
26 28 494
27 28 490
28 28 468
29 28 460
5 29 387
6 29 395
7 29 427
8 29 457
9 29 493
10 29 513
11 29 539
12 29 559
13 29 599
14 29 603
15 30 627
16 30 653
17 29 635
18 29 621
19 29 635
20 29 615
21 29 587
22 29 561
23 29 527
24 29 519
25 29 493
26 29 491
27 29 477
28 29 477
29 29 473
5 28 372
6 29 407
7 29 438
8 30 491
9 29 488
10 30 537
11 30 593
