heat, value, length
0 37 566
1 37 566
2 37 566
3 48 788
4 46 778
5 56 1025
6 59 1158
7 58 1232
8 62 1479
9 63 1497
10 62 1511
11 59 1527
12 61 1495
13 67 1616
14 62 1526
15 66 1584
16 62 1519
17 63 1509
18 64 1560
19 62 1515
20 60 1460
21 65 1492
22 60 1417
23 63 1468
24 64 1477
25 64 1483
26 64 1379
27 62 1336
28 60 1328
29 62 1311
30 63 1348
0 37 575
1 37 575
2 37 575
3 50 846
4 49 902
5 56 1073
6 57 1156
7 58 1218
8 59 1402
9 62 1496
10 61 1584
11 60 1531
12 63 1590
13 62 1557
14 65 1586
15 62 1547
16 65 1583
17 62 1521
18 64 1550
19 66 1608
20 63 1564
21 66 1615
22 67 1628
23 68 1611
24 66 1546
25 64 1435
26 65 1423
27 64 1335
28 65 1342
29 65 1395
30 65 1371
0 34 484
1 34 484
2 34 484
3 45 719
4 47 761
5 54 1008
6 57 1120
7 61 1226
8 62 1367
9 66 1456
10 63 1549
11 64 1550
12 62 1597
13 65 1564
14 66 1602
15 66 1574
16 65 1566
17 64 1475
18 68 1636
19 65 1553
20 66 1526
21 65 1535
22 65 1445
23 65 1424
24 65 1439
25 64 1366
26 63 1314
27 64 1362
28 66 1364
29 65 1336
30 61 1224
0 39 599
1 39 599
2 39 599
3 44 692
4 45 744
5 55 1003
6 56 1074
7 60 1285
8 61 1338
9 63 1465
10 64 1624
11 62 1545
12 62 1553
13 61 1454
14 63 1545
15 61 1498
16 63 1530
17 63 1539
18 62 1528
19 66 1549
20 63 1453
21 65 1451
22 66 1506
23 66 1468
24 65 1470
25 65 1449
26 65 1407
27 65 1405
28 65 1401
29 62 1295
30 62 1289
0 36 555
1 36 555
2 36 555
3 44 784
4 46 806
5 55 990
6 56 1117
7 63 1375
8 63 1427
9 66 1561
10 65 1515
11 63 1536
12 63 1498
13 64 1542
14 64 1536
15 64 1590
16 67 1564
17 63 1483
18 64 1518
19 66 1503
20 65 1449
21 64 1418
22 67 1481
23 64 1412
24 65 1431
25 62 1353
26 62 1342
27 64 1348
28 64 1336
29 64 1330
30 62 1302
0 38 591
1 38 591
2 38 591
3 43 674
4 45 770
5 51 1011
6 54 1072
7 59 1263
8 59 1322
9 63 1530
10 61 1613
11 61 1544
12 63 1505
13 64 1565
14 65 1565
15 66 1627
16 65 1616
17 65 1578
18 64 1488
19 63 1487
20 64 1462
21 64 1467
22 64 1461
23 65 1431
24 64 1385
25 65 1398
26 64 1341
27 65 1364
28 65 1348
29 65 1376
30 65 1352
0 43 642
1 43 642
2 43 642
3 51 798
4 49 801
5 56 1093
6 60 1202
7 64 1380
8 63 1414
9 63 1570
10 62 1509
11 62 1586
12 59 1489
13 62 1539
14 60 1500
15 63 1539
16 67 1679
17 63 1501
18 64 1498
19 62 1534
20 63 1503
21 65 1536
22 66 1550
23 66 1527
24 65 1538
25 65 1471
26 64 1350
27 64 1352
28 64 1356
29 64 1317
30 63 1288
0 37 514
1 37 514
2 37 514
3 45 781
4 48 782
5 52 1001
6 56 1101
7 61 1314
8 61 1448
9 65 1494
10 61 1501
11 59 1394
12 61 1472
13 62 1465
14 62 1562
15 62 1534
16 65 1582
17 65 1611
18 62 1476
19 63 1473
20 65 1531
21 65 1495
22 63 1440
23 65 1450
24 66 1465
25 65 1416
26 65 1380
27 66 1429
28 66 1417
29 66 1407
30 65 1344
0 42 645
1 42 645
2 42 645
3 49 745
4 47 757
5 56 1043
6 54 1017
7 62 1317
8 63 1395
9 62 1440
10 67 1579
11 66 1667
12 63 1607
