heat, value, length
0 37 566
1 37 566
2 37 566
3 48 788
4 46 778
5 56 1025
6 59 1158
7 58 1232
8 62 1479
9 63 1497
10 62 1511
11 59 1527
12 61 1495
13 67 1616
14 62 1526
15 66 1584
16 62 1519
17 63 1509
18 64 1560
19 62 1515
20 60 1460
21 65 1492
22 60 1417
23 63 1468
24 64 1477
25 64 1483
26 64 1379
27 62 1336
28 60 1328
29 62 1311
30 63 1348
0 40 562
1 40 562
2 40 562
3 47 783
4 53 866
5 56 1030
6 56 1119
7 60 1294
8 60 1415
9 61 1518
10 61 1520
11 63 1586
12 62 1652
13 63 1525
14 62 1540
15 63 1532
16 63 1544
17 62 1548
18 63 1502
19 62 1500
20 63 1455
21 65 1487
22 66 1543
23 67 1550
24 65 1488
25 61 1344
26 61 1348
27 60 1309
28 60 1269
29 60 1229
30 59 1214
0 34 493
1 34 493
2 34 493
3 47 744
4 53 885
5 56 979
6 54 999
7 59 1252
8 59 1209
9 63 1489
10 64 1549
11 62 1557
12 62 1525
13 63 1562
14 62 1480
15 64 1570
16 64 1558
17 62 1536
18 65 1547
19 64 1498
20 65 1473
21 67 1578
22 67 1519
23 64 1468
24 67 1536
25 66 1426
26 66 1386
27 66 1406
28 66 1398
29 67 1420
30 65 1320
0 40 644
1 40 644
2 40 644
3 51 878
4 52 881
5 56 1053
6 54 1043
7 58 1277
8 59 1282
9 66 1540
10 65 1566
11 60 1448
12 62 1541
13 60 1465
14 58 1455
15 61 1523
16 63 1621
17 62 1557
18 63 1531
19 65 1526
20 62 1493
21 64 1510
22 62 1469
23 62 1430
24 61 1372
25 63 1407
26 64 1418
27 61 1354
28 61 1362
29 62 1313
30 61 1334
0 36 521
1 36 521
2 36 521
3 49 815
4 47 770
5 56 1012
6 55 1085
7 62 1341
8 60 1287
9 62 1447
10 63 1487
11 62 1497
12 63 1542
13 64 1568
14 65 1535
15 65 1567
16 64 1517
17 65 1543
18 66 1593
19 62 1483
20 65 1519
21 64 1478
22 64 1422
23 64 1446
24 62 1356
25 64 1402
26 63 1363
27 65 1430
28 63 1333
29 61 1260
30 62 1216
0 42 640
1 42 640
2 42 640
3 49 807
4 52 890
5 57 1037
6 55 1001
7 61 1312
8 62 1470
9 63 1561
10 63 1561
11 60 1474
12 60 1478
13 62 1564
14 63 1563
15 63 1511
16 65 1585
17 64 1569
18 61 1519
19 64 1553
20 66 1580
21 66 1593
22 65 1514
23 66 1489
24 66 1487
25 65 1470
26 66 1445
27 64 1394
28 64 1378
29 66 1393
30 62 1278
0 35 530
1 35 530
2 35 530
3 49 842
4 46 746
5 59 1104
6 55 1119
7 61 1248
8 61 1284
9 63 1503
10 63 1609
11 62 1553
12 60 1545
13 61 1485
14 63 1535
15 63 1536
16 64 1532
17 63 1486
18 65 1579
19 66 1531
20 65 1476
21 64 1523
22 66 1477
23 67 1475
24 67 1469
25 61 1344
26 61 1284
27 61 1288
28 61 1274
29 60 1232
30 60 1210
0 37 549
1 37 549
2 37 549
3 49 861
4 47 814
5 54 984
6 60 1154
7 63 1328
8 59 1289
9 64 1488
10 64 1596
11 63 1581
12 60 1517
13 63 1479
14 63 1635
15 66 1596
16 63 1573
17 65 1591
18 64 1524
19 64 1491
20 66 1524
21 64 1441
22 67 1547
23 63 1395
24 64 1440
25 63 1418
26 64 1396
27 62 1339
28 62 1311
29 57 1167
30 57 1167
0 36 544
1 36 544
2 36 544
3 47 801
4 48 848
5 56 988
6 55 1067
7 64 1517
8 61 1385
9 61 1527
10 63 1589
11 61 1518
12 62 1553
13 63 1581
