heat, value, length
7 58 1232
8 62 1479
9 63 1497
10 62 1511
11 59 1527
12 61 1495
13 67 1616
14 62 1526
15 66 1584
16 62 1519
17 63 1509
18 64 1560
19 62 1515
20 60 1460
21 65 1492
22 60 1417
23 63 1468
24 64 1477
25 64 1483
26 64 1379
27 62 1336
28 60 1328
29 62 1311
30 63 1348
7 63 1357
8 64 1525
9 65 1582
10 64 1631
11 65 1540
12 64 1528
13 65 1552
14 63 1533
15 65 1549
16 63 1539
17 62 1462
18 66 1570
19 67 1526
20 66 1529
21 65 1466
22 65 1471
23 65 1461
24 65 1421
25 64 1414
26 64 1388
27 64 1399
28 63 1360
29 66 1344
30 65 1299
7 60 1201
8 63 1441
9 64 1511
10 63 1531
11 65 1666
12 63 1597
13 61 1543
14 63 1599
15 64 1600
16 65 1623
17 63 1510
18 66 1618
19 67 1655
20 66 1582
21 65 1500
22 65 1502
23 65 1445
24 65 1408
25 63 1351
26 62 1300
27 62 1284
28 61 1296
29 62 1321
30 61 1276
7 61 1327
8 60 1312
9 65 1589
10 55 1285
11 63 1579
12 58 1450
13 58 1442
14 57 1399
15 62 1499
16 61 1474
17 65 1551
18 64 1470
19 65 1511
20 66 1526
21 67 1539
22 66 1483
23 66 1471
24 66 1465
25 66 1447
26 66 1408
27 64 1316
28 64 1312
29 64 1301
30 64 1281
7 59 1309
8 62 1497
9 59 1358
10 62 1534
11 59 1455
12 62 1513
13 59 1474
14 58 1444
15 63 1559
16 59 1434
17 61 1420
18 66 1535
19 65 1490
20 68 1586
21 68 1556
22 64 1427
23 63 1367
24 63 1357
25 62 1308
26 62 1302
27 62 1312
28 62 1246
29 61 1223
30 62 1208
7 58 1202
8 62 1492
9 64 1498
10 64 1661
11 63 1533
12 61 1541
13 64 1651
14 63 1581
15 63 1529
16 63 1540
17 63 1547
18 64 1545
19 63 1518
20 64 1498
21 65 1477
22 65 1481
23 65 1450
24 65 1450
25 65 1424
26 65 1406
27 64 1389
28 64 1369
29 64 1351
30 64 1347
7 61 1293
8 61 1394
9 63 1523
