heat, value, length
5 28 389
6 28 401
7 29 463
8 30 513
9 29 525
10 29 527
11 29 557
12 29 571
13 30 641
14 30 623
15 30 659
16 30 661
17 30 651
18 30 631
19 30 649
5 30 409
6 30 439
7 30 461
8 30 493
9 30 511
10 30 563
11 30 553
12 30 619
13 30 605
14 30 653
15 30 649
16 30 637
17 30 633
18 30 645
19 30 663
5 29 379
6 29 401
7 30 467
8 29 445
9 30 525
10 30 535
11 30 563
12 29 539
13 30 639
14 29 573
15 30 645
16 30 655
17 30 677
18 29 611
19 30 651
5 29 399
6 29 421
7 29 447
8 29 465
9 29 519
10 29 513
11 29 573
12 29 565
13 29 605
14 29 623
15 29 635
16 29 661
17 29 641
18 29 637
19 29 635
5 29 415
6 29 423
7 29 457
8 29 471
9 29 507
10 29 539
11 29 543
12 29 563
13 29 589
14 30 623
15 30 665
16 30 687
17 30 685
18 30 669
19 30 661
5 29 392
6 29 424
7 29 422
8 29 456
9 30 537
10 30 549
11 30 583
12 30 591
13 30 639
14 30 625
15 30 629
16 30 659
17 30 681
18 30 669
19 30 663
5 29 411
6 29 417
7 29 445
8 29 465
9 29 517
10 29 519
11 29 535
12 29 547
13 30 625
14 29 583
15 30 685
16 30 647
17 30 665
18 30 657
19 30 645
5 30 431
6 29 439
7 29 501
8 30 507
9 30 545
10 30 559
11 30 635
12 30 631
13 30 655
14 30 677
15 29 671
16 30 703
17 29 665
18 30 659
19 30 677
5 29 417
6 29 447
7 29 433
8 29 463
9 29 481
10 29 519
11 29 523
12 29 551
13 29 569
14 29 607
15 29 611
16 29 605
17 29 633
18 29 647
19 29 633
5 29 413
6 30 469
7 30 495
8 30 529
9 30 551
10 30 593
11 30 597
12 30 615
13 30 685
14 30 635
15 30 651
16 30 649
17 30 641
18 30 645
19 30 643
5 29 404
6 30 441
7 30 479
8 30 491
9 30 525
10 30 561
11 30 581
12 30 585
13 30 625
14 30 663
15 30 683
16 30 699
17 28 603
18 30 667
19 29 639
5 29 385
6 29 405
7 29 447
8 29 453
9 29 511
10 29 533
11 29 525
12 29 565
13 29 569
14 29 599
15 30 637
16 29 599
17 29 623
18 29 623
19 29 607
5 29 401
6 29 409
7 29 435
8 29 455
9 29 475
10 29 513
11 29 517
12 29 553
13 29 567
14 29 605
15 30 663
16 30 657
17 29 619
18 30 665
19 30 653
5 28 361
6 29 421
7 29 463
8 29 475
9 29 505
10 29 527
11 29 549
12 30 593
13 30 629
14 30 637
15 30 657
16 30 661
17 30 689
18 30 657
19 29 627
5 29 389
6 29 405
7 29 451
8 29 495
9 29 507
10 29 515
11 29 547
12 29 567
13 29 575
14 29 599
15 29 617
16 30 693
17 30 665
18 30 663
19 30 651
5 28 373
6 29 397
7 29 427
8 29 445
9 29 485
10 30 543
11 29 545
12 30 587
13 29 575
14 30 641
15 30 657
16 30 657
17 30 653
18 30 649
19 29 565
5 29 389
6 28 411
7 29 425
8 29 437
9 29 497
10 29 519
11 29 527
12 29 543
13 29 563
14 29 587
15 30 635
16 30 651
17 29 587
18 29 587
19 29 599
5 29 421
6 29 441
7 29 463
8 29 495
9 29 519
10 29 569
11 29 569
12 29 625
13 30 629
14 30 651
15 30 653
16 30 657
17 30 677
18 30 691
19 30 639
5 29 395
6 29 389
7 29 433
8 29 453
9 29 485
10 29 489
11 29 543
12 29 547
13 29 587
14 29 573
15 29 613
16 30 673
17 30 685
18 30 693
19 30 657
5 29 377
6 29 411
7 29 431
8 30 497
9 29 471
10 30 535
11 29 535
12 30 575
13 29 577
14 30 637
15 30 647
16 30 661
17 30 671
18 30 669
19 30 655
5 30 439
6 30 467
7 30 473
8 30 503
9 30 533
10 30 549
11 30 557
12 30 605
13 30 609
14 30 649
15 30 665
16 30 665
17 30 643
18 30 665
19 30 647
5 29 421
6 29 413
7 29 453
8 29 467
9 29 499
10 29 521
11 29 551
12 29 573
13 29 587
14 29 599
15 30 663
16 30 673
17 30 687
18 30 671
19 30 681
5 29 415
6 29 407
7 29 475
8 30 493
9 29 499
10 29 529
11 29 541
12 29 557
13 29 587
14 29 611
15 30 627
16 30 631
17 30 665
18 30 643
19 30 649
5 29 421
6 29 401
7 30 469
8 29 465
9 30 531
10 29 515
11 30 609
12 29 561
13 30 635
14 30 643
15 30 637
16 30 669
17 30 647
18 30 669
19 30 657
5 29 387
6 29 421
7 29 423
8 29 473
9 29 483
10 29 521
11 29 519
12 29 553
13 29 553
14 29 609
15 30 613
16 30 649
17 29 609
18 30 647
19 29 603
5 30 449
6 30 453
7 30 479
8 30 513
9 30 541
10 30 569
11 30 585
12 30 607
13 30 633
14 30 653
15 30 651
16 30 689
17 30 669
18 30 673
19 30 661
5 29 406
6 29 442
7 29 452
8 29 484
9 29 500
10 29 534
11 29 570
12 29 582
13 29 598
14 29 620
15 30 659
16 30 671
17 30 661
18 30 661
19 29 616
5 30 413
6 29 424
7 29 430
8 29 464
9 29 480
10 29 514
11 29 536
12 29 570
13 29 570
14 29 592
15 29 638
16 30 653
17 29 636
18 29 660
19 30 647
5 29 416
6 29 426
7 29 466
8 29 464
9 30 551
10 29 538
11 29 554
12 29 584
13 29 606
14 29 614
15 30 637
16 30 663
17 29 644
18 30 681
19 29 646
5 29 393
6 29 431
7 30 461
8 30 493
9 30 515
10 30 545
11 30 567
12 30 593
13 30 605
14 30 617
15 30 637
16 30 621
17 30 625
18 30 639
19 30 659
5 29 391
6 29 391
7 29 433
8 29 451
9 29 489
10 29 497
11 29 525
12 29 553
13 29 563
14 29 611
15 30 639
16 30 651
17 30 659
18 30 697
19 30 673
5 29 413
6 29 425
7 29 429
8 29 487
9 29 507
10 30 553
11 29 549
12 29 577
13 29 601
14 29 613
15 29 597
16 29 615
17 29 645
18 29 641
19 29 613
5 30 431
6 30 467
7 30 487
8 30 513
9 30 543
10 30 563
11 30 589
12 30 597
13 30 629
14 30 687
15 30 665
16 30 679
17 30 667
18 30 659
19 30 661
5 29 410
6 29 403
7 30 471
8 29 445
9 30 513
10 30 525
11 30 553
12 30 573
13 30 603
14 30 611
15 30 643
16 30 651
17 30 663
18 30 653
19 30 673
5 30 437
6 29 422
7 30 479
8 30 487
9 30 535
10 30 547
11 30 567
12 30 595
13 30 615
14 30 621
15 30 635
16 30 657
17 30 663
18 30 647
19 30 647
5 29 393
6 28 391
7 30 457
8 29 489
9 30 527
10 29 523
11 30 565
12 29 555
13 30 619
14 30 627
15 30 623
16 30 631
17 30 647
18 30 621
19 30 641
5 28 395
6 29 471
7 30 485
8 30 509
9 30 551
10 30 585
11 30 615
12 30 621
13 30 651
14 30 677
15 30 647
16 30 643
17 30 693
18 30 693
19 30 679
5 30 421
6 30 449
7 30 485
8 30 515
9 30 521
10 30 557
11 30 583
12 30 607
13 30 643
14 30 695
15 30 683
16 30 663
17 30 663
18 30 691
19 30 653
5 28 358
6 30 453
7 30 449
8 30 485
9 30 519
10 30 543
11 30 563
12 30 593
13 30 625
14 30 641
15 30 659
16 30 703
17 30 679
18 30 659
19 29 615
5 29 392
6 29 424
7 29 440
8 30 507
9 29 490
10 29 522
11 29 550
12 29 596
13 29 576
14 29 590
15 29 610
16 30 629
17 29 660
18 30 673
19 29 610
5 29 399
6 29 421
7 29 439
8 29 481
9 29 515
10 29 531
11 29 561
